"filename", "language", "TypeScript", "JSON with Comments", "TypeScript JSX", "JavaScript", "JSON", "Markdown", "PostCSS", "comment", "blank", "total"
"c:\Git Hub\3x3\README.md", "Markdown", 0, 0, 0, 0, 0, 23, 0, 0, 14, 37
"c:\Git Hub\3x3\eslint.config.mjs", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"c:\Git Hub\3x3\next.config.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 1, 3, 8
"c:\Git Hub\3x3\package-lock.json", "JSON", 0, 0, 0, 0, 6378, 0, 0, 0, 1, 6379
"c:\Git Hub\3x3\package.json", "JSON", 0, 0, 0, 0, 44, 0, 0, 0, 1, 45
"c:\Git Hub\3x3\postcss.config.mjs", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\Git Hub\3x3\src\app\auth\login\page.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"c:\Git Hub\3x3\src\app\auth\signup\page.tsx", "TypeScript JSX", 0, 0, 24, 0, 0, 0, 0, 0, 2, 26
"c:\Git Hub\3x3\src\app\constants\ageGroups.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Git Hub\3x3\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 4, 0, 2, 6
"c:\Git Hub\3x3\src\app\layout.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"c:\Git Hub\3x3\src\app\page.tsx", "TypeScript JSX", 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Git Hub\3x3\src\app\teams\create\page.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Git Hub\3x3\src\app\teams\join\page.tsx", "TypeScript JSX", 0, 0, 21, 0, 0, 0, 0, 0, 2, 23
"c:\Git Hub\3x3\src\app\teams\my-teams\page.tsx", "TypeScript JSX", 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"c:\Git Hub\3x3\src\app\teams\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Git Hub\3x3\src\app\tournaments\create\page.tsx", "TypeScript JSX", 0, 0, 15, 0, 0, 0, 0, 6, 4, 25
"c:\Git Hub\3x3\src\app\tournaments\join\page.tsx", "TypeScript JSX", 0, 0, 35, 0, 0, 0, 0, 2, 8, 45
"c:\Git Hub\3x3\src\app\tournaments\page.tsx", "TypeScript JSX", 0, 0, 131, 0, 0, 0, 0, 5, 8, 144
"c:\Git Hub\3x3\src\components\auth\LoginForm.tsx", "TypeScript JSX", 0, 0, 82, 0, 0, 0, 0, 0, 13, 95
"c:\Git Hub\3x3\src\components\auth\SignupForm.tsx", "TypeScript JSX", 0, 0, 124, 0, 0, 0, 0, 0, 13, 137
"c:\Git Hub\3x3\src\components\common\Button.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"c:\Git Hub\3x3\src\components\common\InfoSection.tsx", "TypeScript JSX", 0, 0, 28, 0, 0, 0, 0, 0, 2, 30
"c:\Git Hub\3x3\src\components\landing\FeatureCard.tsx", "TypeScript JSX", 0, 0, 16, 0, 0, 0, 0, 2, 2, 20
"c:\Git Hub\3x3\src\components\landing\LandingPage.tsx", "TypeScript JSX", 0, 0, 93, 0, 0, 0, 0, 0, 5, 98
"c:\Git Hub\3x3\src\components\landing\WelcomeCard.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"c:\Git Hub\3x3\src\components\layout\Footer.tsx", "TypeScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Git Hub\3x3\src\components\layout\Navbar.tsx", "TypeScript JSX", 0, 0, 54, 0, 0, 0, 0, 0, 4, 58
"c:\Git Hub\3x3\src\components\layout\NavbarDropdown.tsx", "TypeScript JSX", 0, 0, 31, 0, 0, 0, 0, 5, 5, 41
"c:\Git Hub\3x3\src\components\layout\ThemeController.tsx", "TypeScript JSX", 0, 0, 33, 0, 0, 0, 0, 0, 6, 39
"c:\Git Hub\3x3\src\components\teams\JoinForm.tsx", "TypeScript JSX", 0, 0, 57, 0, 0, 0, 0, 0, 11, 68
"c:\Git Hub\3x3\src\components\teams\RegisterForm.tsx", "TypeScript JSX", 0, 0, 100, 0, 0, 0, 0, 0, 12, 112
"c:\Git Hub\3x3\src\components\teams\RegisterTeamPage.tsx", "TypeScript JSX", 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"c:\Git Hub\3x3\src\components\teams\TeamCard.tsx", "TypeScript JSX", 0, 0, 90, 0, 0, 0, 0, 0, 8, 98
"c:\Git Hub\3x3\src\components\teams\TeamGrid.tsx", "TypeScript JSX", 0, 0, 33, 0, 0, 0, 0, 0, 3, 36
"c:\Git Hub\3x3\src\components\teams\TeamManagementModal.tsx", "TypeScript JSX", 0, 0, 463, 0, 0, 0, 0, 7, 32, 502
"c:\Git Hub\3x3\src\components\tournaments\BracketVisualization.tsx", "TypeScript JSX", 0, 0, 301, 0, 0, 0, 0, 10, 30, 341
"c:\Git Hub\3x3\src\components\tournaments\CreateTournamentForm.tsx", "TypeScript JSX", 0, 0, 494, 0, 0, 0, 0, 7, 34, 535
"c:\Git Hub\3x3\src\components\tournaments\HostedTournamentCard.tsx", "TypeScript JSX", 0, 0, 134, 0, 0, 0, 0, 0, 17, 151
"c:\Git Hub\3x3\src\components\tournaments\HostedTournamentDetailsModal.tsx", "TypeScript JSX", 0, 0, 1224, 0, 0, 0, 0, 17, 90, 1331
"c:\Git Hub\3x3\src\components\tournaments\JoinTournamentForm.tsx", "TypeScript JSX", 0, 0, 98, 0, 0, 0, 0, 0, 18, 116
"c:\Git Hub\3x3\src\components\tournaments\JoinedTournamentCard.tsx", "TypeScript JSX", 0, 0, 138, 0, 0, 0, 0, 0, 17, 155
"c:\Git Hub\3x3\src\components\tournaments\JoinedTournamentDetailsModal.tsx", "TypeScript JSX", 0, 0, 384, 0, 0, 0, 0, 5, 39, 428
"c:\Git Hub\3x3\src\components\tournaments\MatchManagement.tsx", "TypeScript JSX", 0, 0, 450, 0, 0, 0, 0, 18, 59, 527
"c:\Git Hub\3x3\src\components\tournaments\ScheduleMatchesModal.tsx", "TypeScript JSX", 0, 0, 335, 0, 0, 0, 0, 12, 29, 376
"c:\Git Hub\3x3\src\components\tournaments\StandingsDisplay.tsx", "TypeScript JSX", 0, 0, 164, 0, 0, 0, 0, 3, 12, 179
"c:\Git Hub\3x3\src\components\tournaments\TournamentCard.tsx", "TypeScript JSX", 0, 0, 155, 0, 0, 0, 0, 0, 17, 172
"c:\Git Hub\3x3\src\components\tournaments\TournamentDetailsModal.tsx", "TypeScript JSX", 0, 0, 370, 0, 0, 0, 0, 13, 35, 418
"c:\Git Hub\3x3\src\lib\db\brackets\doubleElimination.ts", "TypeScript", 256, 0, 0, 0, 0, 0, 0, 90, 62, 408
"c:\Git Hub\3x3\src\lib\db\brackets\groupStage.ts", "TypeScript", 263, 0, 0, 0, 0, 0, 0, 121, 62, 446
"c:\Git Hub\3x3\src\lib\db\brackets\roundRobin.ts", "TypeScript", 208, 0, 0, 0, 0, 0, 0, 97, 44, 349
"c:\Git Hub\3x3\src\lib\db\brackets\singleElimination.ts", "TypeScript", 160, 0, 0, 0, 0, 0, 0, 71, 45, 276
"c:\Git Hub\3x3\src\lib\db\createTeam.ts", "TypeScript", 86, 0, 0, 0, 0, 0, 0, 0, 19, 105
"c:\Git Hub\3x3\src\lib\db\createUser.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 9, 45
"c:\Git Hub\3x3\src\lib\db\db.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Git Hub\3x3\src\lib\db\getMyTeams.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 2, 11, 47
"c:\Git Hub\3x3\src\lib\db\helpers.ts", "TypeScript", 114, 0, 0, 0, 0, 0, 0, 0, 34, 148
"c:\Git Hub\3x3\src\lib\db\joinTeam.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 0, 12, 58
"c:\Git Hub\3x3\src\lib\db\joinTournament.ts", "TypeScript", 98, 0, 0, 0, 0, 0, 0, 0, 21, 119
"c:\Git Hub\3x3\src\lib\db\loginUser.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 6, 39
