Date : 2025-11-04 15:08:03
Directory : c:\Git Hub\3x3
Total : 70 files,  16614 codes, 901 comments, 1496 blanks, all 19011 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          2 |      6,422 |          0 |          2 |      6,424 |
| TypeScript JSX     |         40 |      5,824 |        112 |        555 |      6,491 |
| TypeScript         |         23 |      4,292 |        789 |        915 |      5,996 |
| JSON with Comments |          1 |         33 |          0 |          1 |         34 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| JavaScript         |          2 |         16 |          0 |          7 |         23 |
| PostCSS            |          1 |          4 |          0 |          2 |          6 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                          |         70 |     16,614 |        901 |      1,496 |     19,011 |
| . (Files)                                                                  |          7 |      6,498 |          1 |         27 |      6,526 |
| src                                                                        |         63 |     10,116 |        900 |      1,469 |     12,485 |
| src (Files)                                                                |          1 |         16 |          6 |          6 |         28 |
| src\app                                                                    |         13 |        319 |         13 |         40 |        372 |
| src\app (Files)                                                            |          3 |         35 |          0 |          6 |         41 |
| src\app\auth                                                               |          2 |         47 |          0 |          4 |         51 |
| src\app\auth\login                                                         |          1 |         23 |          0 |          2 |         25 |
| src\app\auth\signup                                                        |          1 |         24 |          0 |          2 |         26 |
| src\app\constants                                                          |          1 |         16 |          0 |          3 |         19 |
| src\app\teams                                                              |          4 |         40 |          0 |          7 |         47 |
| src\app\teams (Files)                                                      |          1 |          0 |          0 |          1 |          1 |
| src\app\teams\create                                                       |          1 |          4 |          0 |          2 |          6 |
| src\app\teams\join                                                         |          1 |         21 |          0 |          2 |         23 |
| src\app\teams\my-teams                                                     |          1 |         15 |          0 |          2 |         17 |
| src\app\tournaments                                                        |          3 |        181 |         13 |         20 |        214 |
| src\app\tournaments (Files)                                                |          1 |        131 |          5 |          8 |        144 |
| src\app\tournaments\create                                                 |          1 |         15 |          6 |          4 |         25 |
| src\app\tournaments\join                                                   |          1 |         35 |          2 |          8 |         45 |
| src\components                                                             |         29 |      5,525 |         99 |        520 |      6,144 |
| src\components\auth                                                        |          2 |        206 |          0 |         26 |        232 |
| src\components\common                                                      |          2 |         51 |          0 |          4 |         55 |
| src\components\landing                                                     |          3 |        132 |          2 |          9 |        143 |
| src\components\layout                                                      |          4 |        127 |          5 |         16 |        148 |
| src\components\teams                                                       |          6 |        762 |          7 |         68 |        837 |
| src\components\tournaments                                                 |         12 |      4,247 |         85 |        397 |      4,729 |
| src\lib                                                                    |         20 |      4,256 |        782 |        903 |      5,941 |
| src\lib (Files)                                                            |          1 |         67 |          0 |         10 |         77 |
| src\lib\db                                                                 |         19 |      4,189 |        782 |        893 |      5,864 |
| src\lib\db (Files)                                                         |         13 |      2,571 |        238 |        530 |      3,339 |
| src\lib\db\brackets                                                        |          4 |        887 |        379 |        213 |      1,479 |
| src\lib\db\progression                                                     |          1 |        483 |         92 |         90 |        665 |
| src\lib\db\scheduling                                                      |          1 |        248 |         73 |         60 |        381 |
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                   | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Git Hub\3x3\README.md                                                   | Markdown           |         23 |          0 |         14 |         37 |
| c:\Git Hub\3x3\eslint.config.mjs                                           | JavaScript         |         12 |          0 |          5 |         17 |
| c:\Git Hub\3x3\next.config.ts                                              | TypeScript         |          4 |          1 |          3 |          8 |
| c:\Git Hub\3x3\package-lock.json                                           | JSON               |      6,378 |          0 |          1 |      6,379 |
| c:\Git Hub\3x3\package.json                                                | JSON               |         44 |          0 |          1 |         45 |
| c:\Git Hub\3x3\postcss.config.mjs                                          | JavaScript         |          4 |          0 |          2 |          6 |
| c:\Git Hub\3x3\src\app\auth\login\page.tsx                                 | TypeScript JSX     |         23 |          0 |          2 |         25 |
| c:\Git Hub\3x3\src\app\auth\signup\page.tsx                                | TypeScript JSX     |         24 |          0 |          2 |         26 |
| c:\Git Hub\3x3\src\app\constants\ageGroups.ts                              | TypeScript         |         16 |          0 |          3 |         19 |
| c:\Git Hub\3x3\src\app\globals.css                                         | PostCSS            |          4 |          0 |          2 |          6 |
| c:\Git Hub\3x3\src\app\layout.tsx                                          | TypeScript JSX     |         23 |          0 |          2 |         25 |
| c:\Git Hub\3x3\src\app\page.tsx                                            | TypeScript JSX     |          8 |          0 |          2 |         10 |
| c:\Git Hub\3x3\src\app\teams\create\page.tsx                               | TypeScript JSX     |          4 |          0 |          2 |          6 |
| c:\Git Hub\3x3\src\app\teams\join\page.tsx                                 | TypeScript JSX     |         21 |          0 |          2 |         23 |
| c:\Git Hub\3x3\src\app\teams\my-teams\page.tsx                             | TypeScript JSX     |         15 |          0 |          2 |         17 |
| c:\Git Hub\3x3\src\app\teams\page.tsx                                      | TypeScript JSX     |          0 |          0 |          1 |          1 |
| c:\Git Hub\3x3\src\app\tournaments\create\page.tsx                         | TypeScript JSX     |         15 |          6 |          4 |         25 |
| c:\Git Hub\3x3\src\app\tournaments\join\page.tsx                           | TypeScript JSX     |         35 |          2 |          8 |         45 |
| c:\Git Hub\3x3\src\app\tournaments\page.tsx                                | TypeScript JSX     |        131 |          5 |          8 |        144 |
| c:\Git Hub\3x3\src\components\auth\LoginForm.tsx                           | TypeScript JSX     |         82 |          0 |         13 |         95 |
| c:\Git Hub\3x3\src\components\auth\SignupForm.tsx                          | TypeScript JSX     |        124 |          0 |         13 |        137 |
| c:\Git Hub\3x3\src\components\common\Button.tsx                            | TypeScript JSX     |         23 |          0 |          2 |         25 |
| c:\Git Hub\3x3\src\components\common\InfoSection.tsx                       | TypeScript JSX     |         28 |          0 |          2 |         30 |
| c:\Git Hub\3x3\src\components\landing\FeatureCard.tsx                      | TypeScript JSX     |         16 |          2 |          2 |         20 |
| c:\Git Hub\3x3\src\components\landing\LandingPage.tsx                      | TypeScript JSX     |         93 |          0 |          5 |         98 |
| c:\Git Hub\3x3\src\components\landing\WelcomeCard.tsx                      | TypeScript JSX     |         23 |          0 |          2 |         25 |
| c:\Git Hub\3x3\src\components\layout\Footer.tsx                            | TypeScript JSX     |          9 |          0 |          1 |         10 |
| c:\Git Hub\3x3\src\components\layout\Navbar.tsx                            | TypeScript JSX     |         54 |          0 |          4 |         58 |
| c:\Git Hub\3x3\src\components\layout\NavbarDropdown.tsx                    | TypeScript JSX     |         31 |          5 |          5 |         41 |
| c:\Git Hub\3x3\src\components\layout\ThemeController.tsx                   | TypeScript JSX     |         33 |          0 |          6 |         39 |
| c:\Git Hub\3x3\src\components\teams\JoinForm.tsx                           | TypeScript JSX     |         57 |          0 |         11 |         68 |
| c:\Git Hub\3x3\src\components\teams\RegisterForm.tsx                       | TypeScript JSX     |        100 |          0 |         12 |        112 |
| c:\Git Hub\3x3\src\components\teams\RegisterTeamPage.tsx                   | TypeScript JSX     |         19 |          0 |          2 |         21 |
| c:\Git Hub\3x3\src\components\teams\TeamCard.tsx                           | TypeScript JSX     |         90 |          0 |          8 |         98 |
| c:\Git Hub\3x3\src\components\teams\TeamGrid.tsx                           | TypeScript JSX     |         33 |          0 |          3 |         36 |
| c:\Git Hub\3x3\src\components\teams\TeamManagementModal.tsx                | TypeScript JSX     |        463 |          7 |         32 |        502 |
| c:\Git Hub\3x3\src\components\tournaments\BracketVisualization.tsx         | TypeScript JSX     |        301 |         10 |         30 |        341 |
| c:\Git Hub\3x3\src\components\tournaments\CreateTournamentForm.tsx         | TypeScript JSX     |        494 |          7 |         34 |        535 |
| c:\Git Hub\3x3\src\components\tournaments\HostedTournamentCard.tsx         | TypeScript JSX     |        134 |          0 |         17 |        151 |
| c:\Git Hub\3x3\src\components\tournaments\HostedTournamentDetailsModal.tsx | TypeScript JSX     |      1,224 |         17 |         90 |      1,331 |
| c:\Git Hub\3x3\src\components\tournaments\JoinTournamentForm.tsx           | TypeScript JSX     |         98 |          0 |         18 |        116 |
| c:\Git Hub\3x3\src\components\tournaments\JoinedTournamentCard.tsx         | TypeScript JSX     |        138 |          0 |         17 |        155 |
| c:\Git Hub\3x3\src\components\tournaments\JoinedTournamentDetailsModal.tsx | TypeScript JSX     |        384 |          5 |         39 |        428 |
| c:\Git Hub\3x3\src\components\tournaments\MatchManagement.tsx              | TypeScript JSX     |        450 |         18 |         59 |        527 |
| c:\Git Hub\3x3\src\components\tournaments\ScheduleMatchesModal.tsx         | TypeScript JSX     |        335 |         12 |         29 |        376 |
| c:\Git Hub\3x3\src\components\tournaments\StandingsDisplay.tsx             | TypeScript JSX     |        164 |          3 |         12 |        179 |
| c:\Git Hub\3x3\src\components\tournaments\TournamentCard.tsx               | TypeScript JSX     |        155 |          0 |         17 |        172 |
| c:\Git Hub\3x3\src\components\tournaments\TournamentDetailsModal.tsx       | TypeScript JSX     |        370 |         13 |         35 |        418 |
| c:\Git Hub\3x3\src\lib\db\brackets\doubleElimination.ts                    | TypeScript         |        256 |         90 |         62 |        408 |
| c:\Git Hub\3x3\src\lib\db\brackets\groupStage.ts                           | TypeScript         |        263 |        121 |         62 |        446 |
| c:\Git Hub\3x3\src\lib\db\brackets\roundRobin.ts                           | TypeScript         |        208 |         97 |         44 |        349 |
| c:\Git Hub\3x3\src\lib\db\brackets\singleElimination.ts                    | TypeScript         |        160 |         71 |         45 |        276 |
| c:\Git Hub\3x3\src\lib\db\createTeam.ts                                    | TypeScript         |         86 |          0 |         19 |        105 |
| c:\Git Hub\3x3\src\lib\db\createUser.ts                                    | TypeScript         |         36 |          0 |          9 |         45 |
| c:\Git Hub\3x3\src\lib\db\db.ts                                            | TypeScript         |         26 |          0 |          4 |         30 |
