"filename", "language", "Markdown", "JSON", "JavaScript", "JSON with Comments", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Git Hub\3x3\README.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 0, 14, 37
"c:\Git Hub\3x3\eslint.config.mjs", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Git Hub\3x3\next.config.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 1, 3, 8
"c:\Git Hub\3x3\package-lock.json", "JSON", 0, 6378, 0, 0, 0, 0, 0, 0, 1, 6379
"c:\Git Hub\3x3\package.json", "JSON", 0, 44, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Git Hub\3x3\postcss.config.mjs", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Git Hub\3x3\src\app\auth\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 2, 31
"c:\Git Hub\3x3\src\app\auth\signup\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 2, 32
"c:\Git Hub\3x3\src\app\constants\ageGroups.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"c:\Git Hub\3x3\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 4, 0, 2, 6
"c:\Git Hub\3x3\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 2, 25
"c:\Git Hub\3x3\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Git Hub\3x3\src\app\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 4, 14
"c:\Git Hub\3x3\src\app\teams\create\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"c:\Git Hub\3x3\src\app\teams\join\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 2, 36
"c:\Git Hub\3x3\src\app\teams\my-teams\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 41, 0, 0, 4, 45
"c:\Git Hub\3x3\src\app\teams\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
